item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q7191981,Abandzounou Pierre Ernest,,,,,2002-06-20,2007-08-05,male,Q7191981-5045EBF9-7A68-4E60-BE8A-75E6FE089227
Q3438286,Adada Rodolphe,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,male,Q3438286-936D7E4C-383D-491F-9261-3AEF24AD8BAC
Q5452128,Ayessa Firmin,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,male,Q5452128-70D8FE1C-A998-423B-B936-EDF76375B6F1
Q112660244,Bakoli Bayack Pierre,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,,Q112660244-BC6FFB38-7EC8-4F91-A60F-BE16441ABFF7
Q112568779,Bathéas Jean-Marie,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,male,Q112568779-E75AC741-BA7F-41DF-98DC-73B04A124671
Q112660245,Batsi Benoît,,,,,2002-06-20,2007-08-05,,Q112660245-CCC7CFDF-8522-4375-97FC-04D43BE818B0
Q5625984,Bitsindou Gérard,Q327591,IND,,,2002-06-20,2007-08-05,male,Q5625984-7113ECCF-D7ED-4A78-BB65-73026F9BD2C9
Q5515546,Bokilo Gabriel,,,,,2002-06-20,2007-08-05,male,Q5515546-53F55F57-ED71-40B5-B43B-61C7782DE9CD
Q112660246,Bokondo Philippes Célestin,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,,Q112660246-57C00211-0AE9-4200-A545-2473540EB7D6
Q112660247,Bombet Jacques,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,,Q112660247-5A514F45-6849-4B40-9A0C-BD2C4EAB812C
Q112660248,Bongouanza Emmanuel,,,,,2002-06-20,2007-08-05,,Q112660248-1144F191-CF7B-455D-A28D-A03035B25009
Q112660126,Boussou Diangou,,,,,2002-06-20,2007-08-05,,Q112660126-49FA9A6A-FD5A-463F-BBB1-AD304CEC9C00
Q112660249,Dambendzet Jeanne-Sahara,,,,,2002-06-20,2007-08-05,,Q112660249-A28F8AA4-00D3-4B18-98BE-173F2B7D2A5F
Q5715430,Djombo Henri,Q1785816,Congolese Party of Labour,,,2002,,male,Q5715430-6DE5AE91-EAB2-408A-BE50-BC1AAEC14710
Q112660250,Ebounda Raymond,,,,,2002-06-20,2007-08-05,,Q112660250-5C184614-BE1B-479B-9386-88E8269A1B89
Q4821030,Gongarad Nkoua Célestin-Auguste,,,,,2002-06-20,2007-08-05,male,Q4821030-C76F81F5-1D10-494F-99C8-4CA25E34905B
Q112660252,Ibara Ndelly Phillipes,,,,,2002-06-20,2007-08-05,,Q112660252-613215BA-178F-4172-9373-32613372E2B6
Q112660253,Iboko Norbert,,,,,2002-06-20,2007-08-05,,Q112660253-E51D7495-D610-4A8A-AC60-5A215EBC83D7
Q5493295,Ibovi François,Q1785816,Congolese Party of Labour,Q3124895,"Oyo, Republic of the Congo",1992,2012-09-05,male,Q5493295-6af382c9-445c-5cc7-5ab5-914c4f9c0501
Q112660254,Kaba Jean,,,,,2002-06-20,2007-08-05,,Q112660254-1FBFE85F-29EA-4D35-BABD-B0C60EC37CF7
Q112655019,Kadia Patrice,,,,,2002-06-20,2007-08-05,,Q112655019-FB9213F1-3E1A-4A6B-A622-70CB760045C4
Q112399,Kignoumbi Kia Mboungou,Q3550401,Pan-African Union for Social Democracy,,,2002,,male,Q112399-c2b8ce99-bb56-4659-8d39-df1bc7569b9e
Q3121597,Kolelas Guy- Parfait,Q3326534,Congolese Movement for Democracy and Integral Development,,,2007,2021-03-22,male,Q3121597-8661daa0-43df-1995-1133-86c6a78d3e75
Q112660255,Kouebe Yvon Roger,,,,,2002-06-20,2007-08-05,,Q112660255-F0D9CD57-C77A-45A8-88A8-6BDC6C135D30
Q6317789,Koumba Justin,,,,,2002-06-20,2007-08-05,male,Q6317789-66D0C8B2-9F8E-4723-BE80-26825F0A35A9
Q3229259,Lekoundzou Itihi Ossetoumba,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,male,Q3229259-F9C918FA-7A83-487C-96E8-D5EAD7624794
Q112321250,Longombé Gabriel,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,,Q112321250-E15C3C88-ED3C-473E-8245-84E8C53D9CAF
Q112660256,Mana Kouakoua Joseph,,,,,2002-06-20,2007-08-05,,Q112660256-FB196692-8D24-4A91-991B-A3F7F936C4AA
Q112568470,Mania Venance,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,male,Q112568470-1A4DAFDD-3956-4C94-8F18-0C05766516F9
Q112660257,Massembou Nganongo Joseph,,,,,2002-06-20,2007-08-05,,Q112660257-F052BC48-679E-4B5C-BEEB-BED3EF88BB7A
Q112660258,Mavoungou Godefroy,,,,,2002-06-20,2007-08-05,,Q112660258-DA06C2EB-C3FE-40F0-8C7B-865BBA94A14A
Q112660259,Mbassi Bernard,,,,,2002-06-20,2007-08-05,,Q112660259-C2D4D726-961B-4C8E-B80E-A92E778E9B34
Q6169668,Mbemba Jean Martin,,,,,2002-06-20,2007-08-05,male,Q6169668-26D9365E-DE0A-4085-BEC9-E68380B1A534
Q7299001,Mboulou Raymond Zéphirin,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,male,Q7299001-DE6FFBAD-830E-4844-AEB5-EE303F3FD108
Q4705682,Moka Alain,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,male,Q4705682-79FE2318-1312-4DF5-BFCE-7122DB5B5355
Q3386379,Moussa Pierre,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,male,Q3386379-73F12C36-E7AC-4A40-9298-C0FB7C6CBB4D
Q5129307,Munari Mabondzo Claudine,Q327591,IND,,,2002-06-20,2007-08-05,female,Q5129307-31CEB55F-93C5-4320-A99A-72DF49595D3C
Q17111062,Ndouane Dambert René,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,male,Q17111062-41AB008E-9831-4A73-AF5B-3686BA5FCB5A
Q112660260,Ngollo Pierre,,,,,2002-06-20,2007-08-05,,Q112660260-1E676A01-975A-4DD4-A68D-D97F2CC6115B
Q112660261,Nicefort Filla Saint Eudes,,,,,2002-06-20,2007-08-05,,Q112660261-6A849D18-4A6B-4262-A68F-9B0D2C03EEFD
Q5515770,Oba Apounou Gabriel,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,male,Q5515770-2B0A5CAA-714E-49A1-9125-439E0027C13D
Q112660262,Obambi Ondaye,,,,,2002-06-20,2007-08-05,,Q112660262-0D398F03-6562-441D-96AF-BF9006CFFFFA
Q6711024,Opimbat Léon-Alfred,,,,,2002-06-20,2007-08-05,male,Q6711024-0DE93967-3165-4226-8870-095D0133167F
Q112655067,Péa Daniel,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,,Q112655067-946437A8-45CF-454F-9876-B78480CB4104
Q112568837,Sabaye Ferdinand,Q1785816,Congolese Party of Labour,,,2002-06-20,2007-08-05,male,Q112568837-0A67F515-EA49-4A4E-AE9C-02FADB858C0F
Q112660264,Satouabantou Milongo André,,,,,2002-06-20,2007-08-05,,Q112660264-DC5BA578-2417-4822-9CE4-6C18B148C03F
Q112660265,Sondjo Mélanie,,,,,2002-06-20,2007-08-05,,Q112660265-E6AB90CB-5FAD-474A-AF10-59543F87B11D
Q112660266,Thystère Tchikaya Jean-Pierre,,,,,2002-06-20,2007-08-05,,Q112660266-6E7DDEBF-8BDA-4F1B-B1BD-E0C20BC3A15B
Q112660267,Tsaka Imvouloungou,,,,,2002-06-20,2007-08-05,,Q112660267-8ADD2CA6-323F-4CCB-A375-60508A90F110
Q7141729,Tsaty-Mabiala Pascal,Q3550401,Pan-African Union for Social Democracy,Q4267430,Loudima District,1992,,male,Q7141729-97222B80-78CD-42BF-ADB0-AA55161BFB59
