areaLabel,itemLabel,partyLabel
Brazzaville,Lekaka François,PCT
Brazzaville,Tsieté,PCT
Brazzaville,Eckomband Céline,PCT
Brazzaville,Botoka Emilienne,PCT
Brazzaville,Batsela Auguste,PCT
Brazzaville,Madzou Paul,UFD
Kouilou,Zambila Gabriel,PCT
Kouilou,Fouty Soungou Philomène,PCT
Kouilou,Bayonne Bernadette,PCT
Kouilou,Makaya Bernard,PCT
Kouilou,Bouanga Taty Jean Pierre,RDP
Kouilou,Pandi Zacharie,RDPS
Niari,Nzila Michel,PCT
Niari,Kombila Goma Gabriel,PCT
Niari,Izoungout Massanga Nzely Pierre,APC
Niari,Makaya Norbert,PCT
Niari,Ibinda Clobert,UDD
Niari,Ngollo Yvonne,CLPL
Lekoumou,Moufouma Okia Marcel,PCT
Lekoumou,Issanga Bernard,ACL
Lekoumou,Nsana Thérèse,indépendante
Lekoumou,Moussoungana Yandinga Antoinette,PCT
Lekoumou,Mviri Albert,MUDEC
Lekoumou,Andzemba Michel,La cle
Bouenza,Mbouaka Jules,CAPS
Bouenza,Bissila Martin,UR
Bouenza,Tsatsa Guy Omer,PCT
Bouenza,Mikolo Kinzozi,PCT
Bouenza,Mbika Wollo Hilaire,PCT
Bouenza,Boukoulou Benjamin,UR
Plateaux,Obami Itou André,PCT
Plateaux,Moutou Bayonne Joséphine,PCT
Plateaux,Ngouonimba Tsari Simon Pierre,PCT
Plateaux,Ngakosso Edouard,PCT
Plateaux,Ollonguizele Basile,PCT
Plateaux,Kanga René,PCT
Cuvette,Obili Gaston,PCT
Cuvette,Nono Jean Pierre,PCT
Cuvette,Ondonda Alphonse,PCT
Cuvette,Odingui Eyenga Ekoto,PCT
Cuvette,Ikongo Logan,PCT
Cuvette,Lonongo Edouard,PCT
Cuvette Ouest,Golengo Micheline,PCT
Cuvette Ouest,Oba Gaston,PCT
Cuvette Ouest,Lkogni Dominique,PCT
Cuvette Ouest,Sombo Emile Donald,PCT
Cuvette Ouest,Songo Aloïse,ACOSS
Cuvette Ouest,Engouali Jean Pierre,URDC
Sangha,Ezaka Demonteis,PCT
Sangha,Manguessa Falanga Charles,PCT
Sangha,Aloka Dominique,PCT
Sangha,Abassikoula Prosper,PCT
Sangha,Nze Pierre,UNDP
Sangha,Ndilou Victor,PCT
Likouala,Noumazalaye Ambroise Edouard,PCT
Likouala,Gondzia Alphonse,PCT
Likouala,Mouassiposso Makongui Pascal,PCT
Likouala,Movania Emmanuel,PCT
Likouala,Ekounzola Roger,PCT
Likouala,Tondo Gilbert,PCT
