@@,itemlabel,partylabel,item,psid
+++,Agathe Mankongou Kamango,PCT,,
+++,Alphonse Boudo Neza,PCT,,
+++,Alphonse Gondzia,PCT,,
+++,Alphonse Nkoua,Indépendant,,
+++,Anasthasie Batchieleli Moudoma,Front Patriotique,,
+++,André Longuele,PCT,,
+++,André Ongagna,PCT,,
+++,Ange Edouard Poungui,UPADS,,
+++,Antoine Banvindi,Club 2002-PUR,,
+++,Antoine Denis Loemba,MAR,,
+++,Antonin Molamou,PCT,,
+++,Aristide Ngama Ngakosso,PCT,,
+++,Athanase Makoundi Makaya,Indépendant,,
+++,Barthélémy Nzaba Bakala,PCT,,
+++,Bernard Mbatchi,RDPS,,
+++,Boniface Bouka,PCT,,
+++,Charlotte Olondowé,PCT,,
+++,Christine Ngomoka Diokivouka,PCT,,
+++,Clobert Ibinda,Indépendant,,
+++,Daniel Abibi,PCT.,,
+++,Dhadie Yedikissa,UPADS,,
+++,Dominique Aloka,PCT,,
+++,Euloge Henri Rock Ondziel-Onna,PRL,,
+++,Gabriel Oba Apounou,PCT,,
+++,Gabriel Ondongo,PCT,,
+++,Gabriel Zambila,PCT,,
+++,Gaspard Kaya Magane,Indépendant,,
+++,Gaston Eyabo,PCT,,
+++,Georges Métoul,PCT,,
+++,Jacqueline Moundzalo,PCT,,
+++,Jean Nicolas Moungalla,Indépendant,,
+++,Jean Rodrigue Mvouma,PCT,,
+++,Jean Roger Ekoundzola,PCT,,
+++,Jean Serge Kentoula,PCT,,
+++,Jean-Félix Tchikaya,RDPS,,
+++,Jean-Marie Epouma Andzimba,Indépendant,,
+++,Jean-Marie Opembé,Indépendant,,
+++,Jean-Pierre Nonault,PCT,,
+++,Jeanne Françoise Leckomba Loumeto,PCT,,
+++,Joséphine Mountou Bayonne,PCT,,
+++,Julien Epola,PCT,,
+++,Justin Goma Gabou,Indépendant,,
+++,Ludovic Robert Miyouna,Pulp,,
+++,Madame Ngotto née Jeanne Emilie Bilongo,PCT,,
+++,Marie Rosine Dongo,PCT,,
+++,Marie Thérèse Bouvet,PCT,,
+++,Martin Nicaise Makosso,Indépendant,,
+++,Maurice Mbella,PCT,,
+++,Michel Mayinga,PCT,,
+++,Michel Robert Makaya,Indépendant,,
+++,Mme Lékoundzou née Kengué Emilienne Charlotte,PCT,,
+++,Mme Ondaye née Bernadette Ntsona Mapessi,PCT,,
+++,Norbert Mbou,PCT,,
+++,Odette Massoussa,PCT,,
+++,Paul Stanislas Nguié,PCT,,
+++,Pauline Ikourou Yoka,PCT,,
+++,Pierre Ngolo,PCT,,
+++,Pierre Nzely Massanga Izoungou,MAR,,
+++,Ralco Mouanda Kitsinga,Indépendant,,
+++,Raymond Bongo Mavoungou,PCT,,
+++,Roger Edouard Okoula,PCT,,
+++,Sylver Makaya Tchibinda,Indépendant,,
+++,Sébastien Seba,PCT,,
+++,Théophile Adoua,PCT,,
+++,Victoire Ngolingo,PCT,,
+++,Victor Foudi,PCT,,
