item,itemLabel,position,positionLabel,start,psid
Q106366290,Honoré Sayi,Q112320671,Minister of Energy,2021-05-15,Q106366290-48407F20-7146-4F5C-825B-93F4E7C23AD1
Q108601356,Irène Mboukou,Q112320708,Minister of Social Affairs,2021-05-15,Q108601356-A3E97A50-5072-49E4-ABC3-230ECB3B8CA1
Q112581016,Ludovic Ngatsé,Q112581013,Minister Delegate to the Minister of Finance,2017-08-22,Q112581016-FA3854D0-D45F-4357-AFD8-4B62AB147D77
Q112581262,Jean-Luc Moutou,Q112320669,Minister of Education,2021-05-15,Q112581262-95814ECE-8ECF-4C08-BEE8-C665D017A83B
Q112581306,Edith Delphine Emmanuelle,Q112320677,Minister of Higher Education,2021-05-15,Q112581306-40F8D70E-2D98-4579-9D87-ED2CA6D9B7B8
Q112581328,Paul Valentin Ngobo,Q112320656,Minister of Agriculture,2021-05-15,Q112581328-7C88A8B6-68CF-4789-9619-BA2A1236602B
Q112581337,Guy Georges Mbaka,Q112320718,Minister of Territorial Administration,2021-05-15,Q112581337-AC5D23B5-44B4-41FD-A39D-B6D0A760476D
Q112581719,Ghislain Thierry Manguessa Ebome,Q112581688,Minister of Vocational Training and Employment,2021-05-15,Q112581719-8A98F506-D297-4798-9823-5DC23642E0EB
Q112581744,Jean Rosaire Ibara,Q112320714,Minister of State Control,2021-05-15,Q112581744-4C03D810-C329-4445-9F97-8D1DA4CA5587
Q15046890,Jean-Claude Gakosso,Q18204385,Minister of Foreign Affairs of the Republic of Congo,2015-08-10,Q15046890-AFF1695D-CF00-4E72-A6FE-8938CD193B1C
Q19819308,Thierry Moungalla,Q112320661,Minister of Communications,2015-08-11,Q19819308-2F9EBD1C-A8E8-4EC2-A122-F27ED7DD25E9
Q23900401,Rigobert Roger Andely,Q112320673,Minister of Finance,2021-05-15,Q23900401-047B166B-0796-4244-A98F-BFF890FFF7FA
Q24147892,Emile Ouosso,Q112320711,Minister of Special Economic Zones,2021-05-15,Q24147892-6DBC0BA7-ED07-4B88-ABA6-4D913A4D3054
